DESC,N_SIMS,ACC_FS_A,PVA,ACC_FS_V,PVV,N,P,KA,KV,MSEA,MSEV
lar1-no-fs-[0:7]-[],0,0.8,,0.0,,5000,10,10,500,1.974507761100472,3.3921842827648296
lar1-no-fs-[0:7]-[],1,0.8,,0.0,,5000,10,10,100,2.1473215218491584,2.8480167021009977
lar1-no-fs-[0:7]-[],2,0.8,,0.0,,5000,10,10,500,2.1609614630500555,3.6380109009180406
lar1-no-fs-[0:7]-[],3,0.8,,0.0,,5000,10,10,500,1.884316003078725,4.095985170726679
lar1-no-fs-[0:7]-[],4,0.8,,0.0,,5000,10,10,500,1.9250235832326037,1.8041031022132694
lar1-no-fs-[0:7]-[],5,0.8,,0.0,,5000,10,10,500,2.1019259026338406,3.2982966218428627
lar1-no-fs-[0:7]-[],6,0.8,,0.0,,5000,10,10,50,1.9931763772509912,3.7747885566204817
lar1-no-fs-[0:7]-[],7,0.8,,0.0,,5000,10,10,500,1.9709123794527608,3.5532792558038753
lar1-no-fs-[0:7]-[],8,0.8,,0.0,,5000,10,10,500,2.00992898003745,3.230748268404147
lar1-no-fs-[0:7]-[],9,0.8,,0.0,,5000,10,10,500,2.017003998268461,2.9323558502859983
lar1-no-fs-[0:7]-[],10,0.8,,0.0,,5000,10,10,500,1.8966593862921604,2.9291265698298803
lar1-no-fs-[0:7]-[],11,0.8,,0.0,,5000,10,10,500,1.932894090710934,3.024960492175797
lar1-no-fs-[0:7]-[],12,0.8,,0.0,,5000,10,10,500,2.0675842179602126,4.8817028365860065
lar1-no-fs-[0:7]-[],13,0.8,,0.0,,5000,10,10,200,2.1504320652081717,2.11963866764498
lar1-no-fs-[0:7]-[],14,0.8,,0.0,,5000,10,10,500,1.950207242060695,4.238746589579221
lar1-no-fs-[0:7]-[],15,0.8,,0.0,,5000,10,10,50,2.1486703432895093,2.1545442708975338
lar1-no-fs-[0:7]-[],16,0.8,,0.0,,5000,10,10,500,1.9565104968364808,3.403501494405657
lar1-no-fs-[0:7]-[],17,0.8,,0.0,,5000,10,10,50,2.10284012453614,2.9828430573649793
lar1-no-fs-[0:7]-[],18,0.8,,0.0,,5000,10,10,500,2.128870629391289,3.731341554151259
lar1-no-fs-[0:7]-[],19,0.8,,0.0,,5000,10,10,500,2.028413860153379,4.274870867454143
lar1-no-fs-[0:7]-[],20,0.8,,0.0,,5000,10,10,200,1.9730800373516482,2.1753796292207808
lar1-no-fs-[0:7]-[],21,0.8,,0.0,,5000,10,10,100,1.8331473794527071,2.2603511011152024
lar1-no-fs-[0:7]-[],22,0.8,,0.0,,5000,10,10,200,1.9128665320438683,2.3333225193355602
lar1-no-fs-[0:7]-[],23,0.8,,0.0,,5000,10,20,500,2.0459758039489824,3.3269872711858572
lar1-no-fs-[0:7]-[],24,0.8,,0.0,,5000,10,10,500,2.101391346363719,3.0355461739281977
lar1-no-fs-[0:7]-[],25,0.8,,0.0,,5000,10,10,500,2.2225917815104856,3.7671585282359237
lar1-no-fs-[0:7]-[],26,0.8,,0.0,,5000,10,10,200,1.9421708389714243,3.217018023633714
lar1-no-fs-[0:7]-[],27,0.8,,0.0,,5000,10,10,100,2.0719428341203865,2.1514583883208926
lar1-no-fs-[0:7]-[],28,0.8,,0.0,,5000,10,10,500,1.9641596495183424,3.961242460014034
lar1-no-fs-[0:7]-[],29,0.8,,0.0,,5000,10,10,20,2.1669142019604415,4.5891503981548265
lar1-no-fs-[0:7]-[],0,0.32,,0.0,,5000,25,10,200,4.93931834575467,15.487403222953127
lar1-no-fs-[0:7]-[],1,0.32,,0.0,,5000,25,10,100,5.0392816322348635,16.18224547449018
lar1-no-fs-[0:7]-[],2,0.32,,0.0,,5000,25,10,200,5.216863997469038,21.65869139115074
lar1-no-fs-[0:7]-[],3,0.32,,0.0,,5000,25,10,500,5.335899299132501,33.90351842041681
lar1-no-fs-[0:7]-[],4,0.32,,0.0,,5000,25,10,200,5.477435034533849,24.68957275094117
lar1-no-fs-[0:7]-[],5,0.32,,0.0,,5000,25,10,500,4.769152299962299,27.155345968480372
lar1-no-fs-[0:7]-[],6,0.32,,0.0,,5000,25,10,200,5.337593234577564,22.435714389226803
lar1-no-fs-[0:7]-[],7,0.32,,0.0,,5000,25,20,500,5.417933052556719,31.756253640338226
lar1-no-fs-[0:7]-[],8,0.32,,0.0,,5000,25,10,500,5.27211314250968,33.78087748454469
lar1-no-fs-[0:7]-[],9,0.32,,0.0,,5000,25,10,500,5.0840868772431556,24.93223607792245
